Designator,Footprint,Quantity,Value
C1,CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal,1,220uF-35V
C2,CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal,1,47uF-35V
C3,CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal,1,10uF-35V
D1,D_DO-201AD_P15.24mm_Horizontal,1,1N5400-50V-3A
D2,LED_D5.0mm,1,LED-5mm-red
"J1, J2, J3",TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,3,Screw_Terminal_01x02
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,R240
R2A1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,R392
R2B1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,R2
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,R560
U1,TO-220-3_Vertical,1,L78S05CV-2A
U2,TO-220-3_Vertical,1,LM317T-1.5A
